Time (s),Angle (deg)
0.08,-11.18
0.18,-21.65
0.279,-18.44
0.379,-4.2
0.479,12.67
0.578,22.12
0.678,18.88
0.778,5.64
0.877,-9.74
0.976,-18.48
1.077,-15.45
1.176,-3.15
1.275,10.79
1.376,18.34
1.475,15.55
1.574,4.54
1.674,-7.87
1.774,-14.36
1.873,-11.17
1.973,-1.05
2.073,10.17
2.172,15.89
2.272,12.84
2.371,3.5
2.471,-6.45
2.571,-11.38
2.67,-8.48
2.77,-0.02
2.87,8.76
2.969,12.77
3.068,10.01
3.169,2.5
3.268,-5.09
3.367,-8.28
3.467,-5.4
3.567,1.24
3.666,7.77
3.766,10.37
3.866,7.73
3.965,1.95
4.065,-3.43
4.164,-5.37
4.264,-2.93
4.364,1.91
4.463,6.21
4.563,7.38
4.663,5.19
4.762,1.26
4.861,-1.96
4.962,-2.53
5.061,-0.47
5.16,2.58
5.261,4.82
5.36,4.95
5.459,3.22
5.559,1.09
5.659,-0.13
5.758,0.15
5.858,1.44
5.958,2.65
6.057,3.05
6.157,2.51
6.256,1.78
6.356,1.46
6.456,1.68
6.555,2.07
6.656,2.11
6.755,1.8
