Time (s),Angle (deg)
0.099,-7.98
0.198,9.95
0.297,21.9
0.398,20.95
0.497,8.61
0.596,-7.41
0.697,-17.86
0.796,-17.01
0.896,-5.75
0.995,8.87
1.095,18.15
1.195,16.69
1.294,6.54
1.394,-6.36
1.494,-14.5
1.593,-12.96
1.692,-3.26
1.793,8.43
1.892,15.52
1.991,13.89
2.092,5.22
2.191,-5.04
2.29,-10.79
2.391,-8.95
2.49,-0.99
2.589,8.07
2.689,12.86
2.789,10.66
2.888,3.46
2.988,-4.28
3.088,-8.11
3.187,-5.92
3.287,0.38
3.386,6.86
3.486,9.81
3.586,7.7
3.685,2.35
3.785,-2.86
3.885,-4.83
3.984,-2.63
4.084,1.81
4.184,5.91
4.283,7.17
4.382,5.12
4.483,1.53
4.582,-1.41
4.681,-2.01
4.782,-0.18
4.881,2.52
4.98,4.37
5.08,4.29
5.18,2.79
5.279,1.09
5.379,0.23
5.479,0.68
5.578,1.79
5.678,2.58
5.778,2.59
5.877,2.1
5.977,1.82
6.076,1.94
6.176,2.24
6.276,2.32
6.375,2.1
6.475,1.9
6.575,2.01
