Time (s),Angle (deg)
0.019,-11.6
0.118,-3.84
0.219,6.34
0.318,13.01
0.417,12.48
0.518,5.63
0.617,-3.22
0.716,-8.77
0.816,-7.73
0.916,-1.38
1.015,6.19
1.115,10.73
1.215,9.58
1.314,4.07
1.414,-2.25
1.513,-5.8
1.613,-4.55
1.713,0.13
1.812,5.23
1.912,7.76
2.012,6.42
2.111,2.59
2.21,-1.31
2.311,-2.97
2.41,-1.59
2.509,1.44
2.609,4.24
2.709,5.18
2.808,3.91
2.908,1.76
3.008,0.14
3.107,-0.05
3.207,1.01
3.306,2.24
3.406,2.77
3.506,2.42
3.605,1.82
3.705,1.62
3.805,1.88
3.904,2.2
4.003,2.19
