Time (s),Angle (deg)
0.058,-49.52
0.157,-49.41
0.257,-49.3
0.357,-49.22
0.456,-49.05
0.556,-48.84
0.655,-48.83
0.755,-48.82
0.855,-48.85
0.954,-48.88
1.054,-48.96
1.154,-49.14
1.253,-48.93
1.353,-42.39
1.453,-17.68
1.552,12.79
1.651,32.92
1.752,32.67
1.851,15.45
1.95,-7.71
2.051,-23.44
2.15,-23.91
2.249,-11.11
2.35,4.5
2.449,13.95
2.548,12.8
2.649,5.46
2.748,-1.94
2.847,-5.02
2.947,-2.73
3.047,0.81
3.146,2.52
3.246,1.93
3.346,1.36
3.445,1.72
3.545,1.72
3.645,1.7
3.744,1.87
3.844,1.81
3.943,1.94
4.043,1.92
4.143,1.98
4.242,2.01
4.342,2.01
