Time (s),Angle (deg)
0.036,-43.76
0.137,-43.88
0.236,-43.94
0.335,-43.93
0.435,-43.96
0.535,-44.04
0.634,-44.08
0.734,-44.17
0.834,-44.2
0.933,-44.27
1.033,-44.42
1.133,-44.52
1.232,-44.93
1.332,-44.81
1.431,-41.86
1.531,-25.63
1.631,0.62
1.73,22.44
1.83,27.65
1.93,16.95
2.029,0.01
2.128,-13.18
2.229,-15.86
2.328,-8.24
2.427,1.7
2.528,6.61
2.627,4.65
2.726,1.57
2.827,1.12
2.926,2.53
3.025,2.9
3.125,2.48
3.225,2.55
3.324,2.6
3.424,2.58
3.524,2.7
3.623,2.64
3.723,2.73
3.822,2.77
3.922,2.76
4.022,2.84
4.121,2.81
4.221,2.85
4.321,2.91
