Time (s),Angle (deg)
0.089,-49.49
0.189,-49.36
0.288,-49.37
0.388,-49.34
0.488,-49.13
0.587,-48.9
0.687,-48.52
0.787,-48.36
0.886,-48.43
0.986,-48.48
1.085,-48.38
1.185,-45.57
1.285,-25.96
1.384,4.59
1.484,29.73
1.584,36.49
1.683,23.21
1.782,-0.53
1.883,-20.92
1.982,-27.36
2.081,-17.45
2.182,-0.44
2.281,13.71
2.38,16.73
2.481,9.47
2.58,-0.01
2.679,-6.15
2.779,-5.76
2.879,-1.29
2.978,2.28
3.078,1.83
3.178,0.38
3.277,0.77
3.377,1.49
3.477,1.27
3.576,1.43
3.676,1.41
3.775,1.49
3.875,1.47
3.975,1.55
4.074,1.52
4.174,1.59
4.274,1.59
