Time (s),Angle (deg)
0.053,-47.92
0.152,-47.96
0.252,-47.91
0.352,-47.84
0.451,-47.8
0.551,-47.97
0.651,-48.13
0.75,-48.35
0.85,-48.33
0.95,-48.48
1.049,-48.8
1.148,-47.46
1.249,-31.5
1.348,-2.36
1.447,25.14
1.548,36.54
1.647,27.32
1.746,5.22
1.847,-16.62
1.946,-26.49
2.045,-19.89
2.145,-3.47
2.245,11.68
2.344,17.24
2.444,11.57
2.544,2.18
2.643,-5.2
2.743,-6.41
2.843,-2.39
2.942,1.83
3.042,2.76
3.141,0.84
3.241,0.42
3.341,1.19
3.44,1.67
3.54,1.53
3.64,1.66
3.739,1.61
3.84,1.71
3.939,1.68
4.038,1.75
4.139,1.73
