Time (s),Angle (deg)
0.035,-44.04
0.135,-44.14
0.234,-44.21
0.334,-44.29
0.434,-44.4
0.533,-44.47
0.632,-44.52
0.733,-44.57
0.832,-44.6
0.931,-44.62
1.032,-44.53
1.131,-42.52
1.23,-24.89
1.331,2.51
1.43,24.25
1.529,28.56
1.629,16.77
1.729,-2.3
1.828,-17.55
1.928,-20.82
2.028,-11.69
2.127,1.39
2.227,11.02
2.327,12.04
2.426,6.41
2.526,-0.42
2.625,-4.2
2.725,-3.22
2.825,-0.2
2.924,1.91
3.024,1.95
3.124,1.53
3.223,1.85
3.322,1.7
3.423,1.82
3.522,1.81
3.621,1.88
3.722,1.88
3.821,1.93
3.92,1.92
4.021,1.97
