Time (s),Angle (deg)
0.106,-42.68
0.206,-42.8
0.306,-42.86
0.405,-42.98
0.505,-43.16
0.605,-43.18
0.704,-43.2
0.804,-43.16
0.904,-43.17
1.003,-43.24
1.103,-39.12
1.203,-18.57
1.302,7.78
1.401,26.02
1.502,26.73
1.601,13.28
1.7,-4.22
1.801,-15.58
1.9,-15.12
1.999,-6.12
2.1,2.79
2.199,6.69
2.298,4.48
2.399,1.61
2.498,1.3
2.597,2.6
2.697,2.76
2.797,2.35
2.896,2.44
2.996,2.48
3.096,2.45
3.195,2.52
3.295,2.49
3.395,2.54
3.494,2.55
3.594,2.58
3.694,2.6
3.793,2.61
3.893,2.64
3.992,2.65
