Timestamp_ms,Voltage_V,Current_mA,Power_mW,AccX_g,AccY_g,AccZ_g,Roll_deg,Pitch_deg,Yaw_deg

Setup complete. Logging is active.
Commands: start, stop, dump, erase
335,0.00,-0.80,0.00,0.354,-0.038,0.932,-2.75,-11.71,41.63
354,0.00,-0.60,0.00,0.354,-0.038,0.932,-2.75,-11.71,41.63
374,0.00,-0.60,0.00,0.354,-0.038,0.932,-2.75,-11.71,41.63
394,0.00,-0.90,0.00,0.354,-0.038,0.932,-2.75,-11.71,41.63
414,0.00,-0.90,0.00,0.202,-0.066,1.001,-2.75,-11.71,41.63
434,0.00,-0.80,0.00,0.202,-0.066,1.001,-3.36,2.48,39.29
454,0.00,-0.70,0.00,0.202,-0.066,1.001,-3.36,2.48,39.29
474,0.00,-0.60,0.00,0.202,-0.066,1.001,-3.36,2.48,39.29
494,0.00,-0.70,0.00,0.202,-0.066,1.001,-3.36,2.48,39.29
514,0.00,-0.70,0.00,-0.082,0.132,0.863,-3.36,2.48,39.29
534,0.00,-0.60,0.00,-0.082,0.132,0.863,-4.93,18.95,37.61
554,0.00,3.80,0.00,-0.082,0.132,0.863,-4.93,18.95,37.61
574,0.69,72.10,50.00,-0.082,0.132,0.863,-4.93,18.95,37.61
594,0.96,100.20,96.00,-0.082,0.132,0.863,-4.93,18.95,37.61
614,1.03,107.80,112.00,-0.494,-0.114,0.980,-4.93,18.95,37.61
634,1.25,129.10,154.00,-0.494,-0.114,0.980,-5.57,22.88,35.85
654,1.47,154.30,236.00,-0.494,-0.114,0.980,-5.57,22.88,35.85
674,1.80,184.90,350.00,-0.494,-0.114,0.980,-5.57,22.88,35.85
694,2.08,215.50,452.00,-0.494,-0.114,0.980,-5.57,22.88,35.85
714,2.14,213.90,446.00,-0.835,-0.149,0.877,-5.57,22.88,35.85
734,1.93,199.10,404.00,-0.835,-0.149,0.877,-5.32,18.32,35.67
754,1.70,173.60,294.00,-0.835,-0.149,0.877,-5.32,18.32,35.67
774,1.28,130.40,164.00,-0.835,-0.149,0.877,-5.32,18.32,35.67
794,0.83,86.00,66.00,-0.384,-0.105,0.985,-5.32,18.32,35.67
814,0.52,53.60,26.00,-0.384,-0.105,0.985,-5.32,18.32,35.67
834,0.32,34.30,10.00,-0.384,-0.105,0.985,-4.03,-0.14,37.95
854,0.19,22.10,4.00,-0.384,-0.105,0.985,-4.03,-0.14,37.95
874,0.12,14.00,0.00,-0.384,-0.105,0.985,-4.03,-0.14,37.95
894,0.06,9.00,0.00,0.268,0.019,0.851,-4.03,-0.14,37.95
914,0.03,5.40,0.00,0.268,0.019,0.851,-4.03,-0.14,37.95
934,0.01,3.20,0.00,0.268,0.019,0.851,-3.60,-13.26,40.19
954,0.00,2.10,0.00,0.268,0.019,0.851,-3.60,-13.26,40.19
974,0.00,1.20,0.00,0.268,0.019,0.851,-3.60,-13.26,40.19
994,0.00,0.50,0.00,0.538,-0.023,0.875,-3.60,-13.26,40.19
1014,0.00,0.50,0.00,0.538,-0.023,0.875,-3.60,-13.26,40.19
1034,0.00,-0.20,0.00,0.538,-0.023,0.875,-3.74,-12.52,39.82
1312,3.38,347.20,1180.00,-0.818,-0.037,0.477,-9.24,38.87,29.39
1331,3.58,365.30,1330.00,-0.818,-0.037,0.477,-10.34,37.84,26.04
1351,3.64,369.70,1330.00,-0.818,-0.037,0.477,-10.34,37.84,26.04
1371,3.68,376.10,1380.00,-0.818,-0.037,0.477,-10.34,37.84,26.04
1391,3.66,374.10,1354.00,-0.818,-0.037,0.477,-10.34,37.84,26.04
1411,3.58,366.50,1320.00,-0.783,-0.121,0.901,-10.34,37.84,26.04
1431,3.28,335.60,1102.00,-0.783,-0.121,0.901,-8.49,24.79,28.45
1451,2.78,280.60,750.00,-0.783,-0.121,0.901,-8.49,24.79,28.45
1471,2.26,230.50,514.00,-0.783,-0.121,0.901,-8.49,24.79,28.45
1491,1.67,168.80,276.00,-0.783,-0.121,0.901,-8.49,24.79,28.45
1511,1.12,115.40,122.00,-0.464,-0.101,1.071,-8.49,24.79,28.45
1531,0.71,72.00,50.00,-0.464,-0.101,1.071,-6.54,3.84,32.41
1551,0.44,46.40,20.00,-0.464,-0.101,1.071,-6.54,3.84,32.41
1571,0.28,30.00,6.00,-0.464,-0.101,1.071,-6.54,3.84,32.41
1591,0.17,19.00,4.00,-0.464,-0.101,1.071,-6.54,3.84,32.41
1611,0.10,12.60,0.00,0.137,-0.086,0.930,-6.54,3.84,32.41
1631,0.06,8.00,0.00,0.137,-0.086,0.930,-5.86,-10.37,35.68
1651,0.03,5.40,0.00,0.137,-0.086,0.930,-5.86,-10.37,35.68
1671,0.00,3.60,0.00,0.137,-0.086,0.930,-5.86,-10.37,35.68
1691,0.00,1.70,0.00,0.137,-0.086,0.930,-5.86,-10.37,35.68
1711,0.00,1.20,0.00,0.576,-0.104,0.798,-5.86,-10.37,35.68
1731,0.00,0.90,0.00,0.576,-0.104,0.798,-5.72,-14.66,37.35
1751,0.00,0.30,0.00,0.576,-0.104,0.798,-5.72,-14.66,37.35
1771,0.00,0.20,0.00,0.576,-0.104,0.798,-5.72,-14.66,37.35
1791,0.00,0.20,0.00,0.449,-0.054,1.315,-5.72,-14.66,37.35
1811,0.00,-0.10,0.00,0.449,-0.054,1.315,-5.72,-14.66,37.35
1831,0.00,-0.40,0.00,0.449,-0.054,1.315,-6.76,7.32,33.12
1851,0.00,-0.30,0.00,0.449,-0.054,1.315,-6.76,7.32,33.12
1871,0.00,-0.50,0.00,0.449,-0.054,1.315,-6.76,7.32,33.12
1891,0.00,-0.50,0.00,-0.157,0.062,0.764,-6.76,7.32,33.12
1911,0.00,-0.70,0.00,-0.157,0.062,0.764,-6.76,7.32,33.12
1931,0.00,-0.30,0.00,-0.157,0.062,0.764,-11.80,41.17,25.27
1951,0.02,8.50,4.00,-0.157,0.062,0.764,-11.80,41.17,25.27
