Timestamp_ms,Voltage_V,Current_mA,Power_mW,AccX_g,AccY_g,AccZ_g,Roll_deg,Pitch_deg,Yaw_deg

Setup complete. Logging is active.
Commands: start, stop, dump, erase
307,0.00,-0.80,0.00,0.006,-0.062,0.975,-3.72,3.10,42.95
326,0.00,-0.80,0.00,0.006,-0.062,0.975,-3.53,-1.18,43.04
346,0.00,-0.70,0.00,0.006,-0.062,0.975,-3.53,-1.18,43.04
366,0.00,-0.90,0.00,0.006,-0.062,0.975,-3.53,-1.18,43.04
386,0.00,-1.00,0.00,0.006,-0.062,0.975,-3.53,-1.18,43.04
406,0.00,-0.60,0.00,0.152,-0.076,0.987,-3.53,-1.18,43.04
426,0.00,-0.80,0.00,0.152,-0.076,0.987,-3.31,-6.06,42.66
446,0.00,-0.70,0.00,0.152,-0.076,0.987,-3.31,-6.06,42.66
466,0.00,-0.80,0.00,0.152,-0.076,0.987,-3.31,-6.06,42.66
486,0.00,-0.70,0.00,0.152,-0.076,0.987,-3.31,-6.06,42.66
506,0.00,-0.70,0.00,0.317,-0.056,0.971,-3.31,-6.06,42.66
526,0.00,-0.70,0.00,0.317,-0.056,0.971,-3.24,-6.99,41.64
546,0.00,-0.90,0.00,0.317,-0.056,0.971,-3.24,-6.99,41.64
566,0.00,-0.70,0.00,0.317,-0.056,0.971,-3.24,-6.99,41.64
586,0.00,-0.70,0.00,0.317,-0.056,0.971,-3.24,-6.99,41.64
606,0.00,-0.90,0.00,0.180,-0.250,0.979,-3.24,-6.99,41.64
626,0.00,-0.70,0.00,0.180,-0.250,0.979,-3.72,3.02,39.68
646,0.00,-0.50,0.00,0.180,-0.250,0.979,-3.72,3.02,39.68
666,0.00,-0.70,0.00,0.180,-0.250,0.979,-3.72,3.02,39.68
686,0.00,-0.70,0.00,0.180,-0.250,0.979,-3.72,3.02,39.68
706,0.00,-0.50,0.00,-0.047,0.052,0.963,-3.72,3.02,39.68
726,0.00,-0.80,0.00,-0.047,0.052,0.963,-4.55,12.04,37.72
746,0.00,-1.00,0.00,-0.047,0.052,0.963,-4.55,12.04,37.72
766,0.00,-0.80,0.00,-0.047,0.052,0.963,-4.55,12.04,37.72
786,0.09,11.50,0.00,-0.047,0.052,0.963,-4.55,12.04,37.72
806,0.30,32.80,10.00,-0.506,-0.143,0.857,-4.55,12.04,37.72
826,0.85,89.50,78.00,-0.506,-0.143,0.857,-5.23,20.26,37.07
846,1.31,137.50,184.00,-0.506,-0.143,0.857,-5.23,20.26,37.07
866,1.44,149.50,222.00,-0.506,-0.143,0.857,-5.23,20.26,37.07
886,1.36,140.40,190.00,-0.506,-0.143,0.857,-5.23,20.26,37.07
906,1.06,108.60,108.00,-0.693,-0.139,1.042,-5.23,20.26,37.07
926,0.90,91.40,78.00,-0.693,-0.139,1.042,-4.82,11.57,37.71
946,0.66,67.80,42.00,-0.693,-0.139,1.042,-4.82,11.57,37.71
966,0.44,46.20,20.00,-0.693,-0.139,1.042,-4.82,11.57,37.71
986,0.29,31.10,10.00,-0.693,-0.139,1.042,-4.82,11.57,37.71
1006,0.19,21.40,4.00,-0.355,-0.131,1.018,-4.82,11.57,37.71
1259,0.00,-0.50,0.00,0.599,-0.044,0.882,-3.63,-14.11,40.44
1278,0.00,-0.50,0.00,0.599,-0.044,0.882,-3.63,-14.11,40.44
1298,0.00,-0.50,0.00,0.110,-0.148,1.304,-3.63,-14.11,40.44
1318,0.00,-0.80,0.00,0.110,-0.148,1.304,-5.47,15.33,36.13
1338,0.00,-0.70,0.00,0.110,-0.148,1.304,-5.47,15.33,36.13
1358,0.00,-0.40,0.00,0.110,-0.148,1.304,-5.47,15.33,36.13
1378,0.00,-0.40,0.00,0.110,-0.148,1.304,-5.47,15.33,36.13
1398,0.00,-0.60,0.00,-0.226,0.027,0.784,-5.47,15.33,36.13
1418,0.02,18.90,4.00,-0.226,0.027,0.784,-8.56,34.16,31.03
1438,0.93,96.30,86.00,-0.226,0.027,0.784,-8.56,34.16,31.03
1458,1.64,170.90,340.00,-0.226,0.027,0.784,-8.56,34.16,31.03
1478,2.23,222.30,476.00,-0.226,0.027,0.784,-8.56,34.16,31.03
1498,2.52,253.80,596.00,-0.628,0.021,0.678,-8.56,34.16,31.03
1518,2.64,263.60,672.00,-0.628,0.021,0.678,-8.72,29.16,28.63
1538,2.50,267.70,698.00,-0.628,0.021,0.678,-8.72,29.16,28.63
1558,2.34,239.50,600.00,-0.628,0.021,0.678,-8.72,29.16,28.63
1578,2.34,232.50,524.00,-0.628,0.021,0.678,-8.72,29.16,28.63
1598,2.25,231.70,522.00,-0.793,-0.070,0.866,-8.72,29.16,28.63
1618,1.92,194.50,350.00,-0.793,-0.070,0.866,-7.58,18.72,30.28
1638,1.56,156.30,236.00,-0.793,-0.070,0.866,-7.58,18.72,30.28
1658,1.31,134.20,168.00,-0.793,-0.070,0.866,-7.58,18.72,30.28
1678,1.09,113.60,122.00,-0.793,-0.070,0.866,-7.58,18.72,30.28
1698,0.76,76.90,56.00,-0.488,-0.068,1.074,-7.58,18.72,30.28
1718,0.50,53.20,26.00,-0.488,-0.068,1.074,-6.20,1.33,33.79
1738,0.34,36.60,14.00,-0.488,-0.068,1.074,-6.20,1.33,33.79
1758,0.23,25.20,6.00,-0.488,-0.068,1.074,-6.20,1.33,33.79
1778,0.15,17.80,4.00,-0.488,-0.068,1.074,-6.20,1.33,33.79
1798,0.10,12.00,0.00,0.102,-0.078,0.958,-6.20,1.33,33.79
1818,0.06,8.70,0.00,0.102,-0.078,0.958,-5.72,-12.72,36.59
1838,0.03,6.00,0.00,0.102,-0.078,0.958,-5.72,-12.72,36.59
1858,0.02,4.00,0.00,0.102,-0.078,0.958,-5.72,-12.72,36.59
1878,0.00,2.70,0.00,0.102,-0.078,0.958,-5.72,-12.72,36.59
1898,0.00,2.10,0.00,0.522,-0.045,0.701,-5.72,-12.72,36.59
