Timestamp_ms,Voltage_V,Current_mA,Power_mW,AccX_g,AccY_g,AccZ_g,Roll_deg,Pitch_deg,Yaw_deg

Setup complete. Logging is active.
Commands: start, stop, dump, erase
565,0.00,-0.80,0.00,0.310,-0.019,0.920,-2.91,-13.01,48.92
584,0.00,-0.90,0.00,0.335,-0.028,0.962,-2.91,-13.01,48.92
604,0.00,-0.80,0.00,0.335,-0.028,0.962,-3.05,-8.94,47.52
624,0.00,-0.60,0.00,0.335,-0.028,0.962,-3.05,-8.94,47.52
644,0.00,-0.90,0.00,0.335,-0.028,0.962,-3.05,-8.94,47.52
664,0.00,-1.00,0.00,0.335,-0.028,0.962,-3.05,-8.94,47.52
684,0.00,-0.80,0.00,0.179,-0.058,1.088,-3.05,-8.94,47.52
704,0.00,-0.60,0.00,0.179,-0.058,1.088,-4.02,6.42,45.65
724,0.00,-0.70,0.00,0.179,-0.058,1.088,-4.02,6.42,45.65
744,0.00,-0.60,0.00,0.179,-0.058,1.088,-4.02,6.42,45.65
764,0.00,-0.80,0.00,0.179,-0.058,1.088,-4.02,6.42,45.65
784,0.00,-0.80,0.00,-0.246,-0.121,0.869,-4.02,6.42,45.65
804,0.22,28.50,6.00,-0.246,-0.121,0.869,-5.23,18.98,43.68
824,0.72,76.80,58.00,-0.246,-0.121,0.869,-5.23,18.98,43.68
844,1.36,140.50,190.00,-0.246,-0.121,0.869,-5.23,18.98,43.68
864,1.81,187.60,340.00,-0.246,-0.121,0.869,-5.23,18.98,43.68
884,1.94,197.70,370.00,-0.679,-0.116,0.903,-5.23,18.98,43.68
904,1.99,201.40,396.00,-0.679,-0.116,0.903,-5.52,18.27,42.86
924,2.02,207.70,422.00,-0.679,-0.116,0.903,-5.52,18.27,42.86
944,1.86,191.80,360.00,-0.679,-0.116,0.903,-5.52,18.27,42.86
964,1.62,162.40,256.00,-0.679,-0.116,0.903,-5.52,18.27,42.86
984,1.23,125.90,150.00,-0.589,-0.104,1.105,-5.52,18.27,42.86
1004,0.86,88.90,72.00,-0.589,-0.104,1.105,-4.63,4.92,44.80
1024,0.58,59.90,32.00,-0.589,-0.104,1.105,-4.63,4.92,44.80
1044,0.39,41.50,16.00,-0.589,-0.104,1.105,-4.63,4.92,44.80
1064,0.26,28.70,6.00,-0.589,-0.104,1.105,-4.63,4.92,44.80
1084,0.18,19.80,4.00,0.006,-0.022,0.899,-4.63,4.92,44.80
1104,0.11,13.60,0.00,0.006,-0.022,0.899,-3.85,-12.22,46.68
1124,0.07,9.50,0.00,0.006,-0.022,0.899,-3.85,-12.22,46.68
1144,0.04,6.30,0.00,0.006,-0.022,0.899,-3.85,-12.22,46.68
1164,0.02,4.30,0.00,0.006,-0.022,0.899,-3.85,-12.22,46.68
1184,0.00,2.60,0.00,0.478,0.042,0.676,-3.85,-12.22,46.68
1204,0.00,2.10,0.00,0.478,0.042,0.676,-3.77,-18.93,47.19
1224,0.00,1.30,0.00,0.478,0.042,0.676,-3.77,-18.93,47.19
1244,0.00,0.80,0.00,0.478,0.042,0.676,-3.77,-18.93,47.19
1264,0.00,0.40,0.00,0.478,0.042,0.676,-3.77,-18.93,47.19
1486,2.46,260.20,666.00,-0.627,-0.177,0.494,-8.41,35.48,37.66
1505,2.88,293.50,848.00,-0.627,-0.177,0.494,-11.70,43.39,30.96
1525,2.99,304.20,904.00,-0.627,-0.177,0.494,-11.70,43.39,30.96
1545,3.21,327.90,1052.00,-0.627,-0.177,0.494,-11.70,43.39,30.96
1565,3.51,360.40,1288.00,-0.627,-0.177,0.494,-11.70,43.39,30.96
1585,3.75,384.50,1446.00,-0.847,-0.110,0.562,-11.70,43.39,30.96
1605,3.96,403.00,1592.00,-0.847,-0.110,0.562,-10.39,34.33,32.08
1625,3.88,395.50,1550.00,-0.847,-0.110,0.562,-10.39,34.33,32.08
1645,3.84,391.70,1504.00,-0.847,-0.110,0.562,-10.39,34.33,32.08
1665,3.52,357.60,1248.00,-0.847,-0.110,0.562,-10.39,34.33,32.08
1685,3.08,308.90,930.00,-0.730,-0.110,0.981,-10.39,34.33,32.08
1705,2.44,242.90,570.00,-0.730,-0.110,0.981,-7.32,10.04,37.01
1725,1.66,169.20,266.00,-0.730,-0.110,0.981,-7.32,10.04,37.01
1745,1.14,114.90,128.00,-0.730,-0.110,0.981,-7.32,10.04,37.01
1765,0.77,79.70,58.00,-0.730,-0.110,0.981,-7.32,10.04,37.01
1785,0.52,55.50,26.00,-0.011,-0.139,0.883,-7.32,10.04,37.01
1805,0.36,38.40,14.00,-0.011,-0.139,0.883,-6.12,-15.88,40.91
1825,0.24,26.80,6.00,-0.011,-0.139,0.883,-6.12,-15.88,40.91
1845,0.16,18.90,4.00,-0.011,-0.139,0.883,-6.12,-15.88,40.91
1865,0.11,13.10,0.00,-0.011,-0.139,0.883,-6.12,-15.88,40.91
1885,0.07,9.40,0.00,0.604,-0.064,0.725,-6.12,-15.88,40.91
1905,0.04,6.60,0.00,0.604,-0.064,0.725,-6.20,-20.17,42.03
1925,0.02,4.80,0.00,0.604,-0.064,0.725,-6.20,-20.17,42.03
1945,0.00,3.00,0.00,0.604,-0.064,0.725,-6.20,-20.17,42.03
1965,0.00,2.20,0.00,0.604,-0.064,0.725,-6.20,-20.17,42.03
1985,0.00,1.40,0.00,0.263,-0.050,1.518,-6.20,-20.17,42.03
2005,0.00,0.90,0.00,0.263,-0.050,1.518,-7.00,6.43,36.23
2025,0.00,0.80,0.00,0.263,-0.050,1.518,-7.00,6.43,36.23
2045,0.00,0.50,0.00,0.263,-0.050,1.518,-7.00,6.43,36.23
2065,0.00,0.20,0.00,0.263,-0.050,1.518,-7.00,6.43,36.23
2085,0.00,0.00,0.00,-0.070,0.047,0.766,-7.00,6.43,36.23
2105,0.00,-0.30,0.00,-0.070,0.047,0.766,-12.86,42.41,27.53
2125,0.00,3.40,0.00,-0.070,0.047,0.766,-12.86,42.41,27.53
