Timestamp_ms,Voltage_V,Current_mA,Power_mW,AccX_g,AccY_g,AccZ_g,Roll_deg,Pitch_deg,Yaw_deg
Initializing INA219 sensor...
INA219 sensor found.
Initializing HWT901B IMU...
Mounting file system...

Setup complete. Logging is active.
Commands: start, stop, dump, erase
353,0.00,-0.60,0.00,-0.001,-0.057,1.000,-4.17,-1.03,-66.26
372,0.00,-0.50,0.00,-0.001,-0.057,1.000,-4.17,-1.03,-66.26
392,0.00,-0.70,0.00,0.000,-0.059,1.000,-4.17,-1.03,-66.26
412,0.00,-0.60,0.00,0.000,-0.059,1.000,-4.11,-0.97,-66.39
432,0.00,-0.90,0.00,0.000,-0.059,1.000,-4.11,-0.97,-66.39
452,0.00,-0.80,0.00,0.000,-0.059,1.000,-4.11,-0.97,-66.39
472,0.00,-0.70,0.00,0.000,-0.059,1.000,-4.11,-0.97,-66.39
492,0.00,-0.80,0.00,0.010,-0.056,1.000,-4.11,-0.97,-66.39
512,0.00,-0.70,0.00,0.010,-0.056,1.000,-4.04,-1.05,-66.54
532,0.00,-0.60,0.00,0.010,-0.056,1.000,-4.04,-1.05,-66.54
552,0.00,-0.90,0.00,0.010,-0.056,1.000,-4.04,-1.05,-66.54
572,0.00,-0.60,0.00,0.010,-0.056,1.000,-4.04,-1.05,-66.54
592,0.00,-0.60,0.00,0.012,-0.055,0.999,-4.04,-1.05,-66.54
612,0.00,-0.60,0.00,0.012,-0.055,0.999,-3.99,-0.97,-66.70
632,0.00,-0.70,0.00,0.012,-0.055,0.999,-3.99,-0.97,-66.70
652,0.00,-0.90,0.00,0.012,-0.055,0.999,-3.99,-0.97,-66.70
672,0.00,-0.70,0.00,0.012,-0.055,0.999,-3.99,-0.97,-66.70
692,0.00,-0.70,0.00,-0.004,-0.059,1.000,-3.99,-0.97,-66.70
712,0.00,-0.70,0.00,-0.004,-0.059,1.000,-3.94,-0.95,-66.85
732,0.00,-1.00,0.00,-0.004,-0.059,1.000,-3.94,-0.95,-66.85
752,0.00,-0.60,0.00,-0.004,-0.059,1.000,-3.94,-0.95,-66.85
772,0.00,-0.70,0.00,-0.004,-0.059,1.000,-3.94,-0.95,-66.85
792,0.00,-0.80,0.00,0.004,-0.058,1.000,-3.94,-0.95,-66.85
812,0.00,-0.80,0.00,0.004,-0.058,1.000,-3.89,-0.94,-66.97
832,0.00,-0.70,0.00,0.004,-0.058,1.000,-3.89,-0.94,-66.97
852,0.00,-0.80,0.00,0.004,-0.058,1.000,-3.89,-0.94,-66.97
872,0.00,-0.70,0.00,0.004,-0.058,1.000,-3.89,-0.94,-66.97
892,0.00,-0.70,0.00,0.008,-0.058,1.000,-3.89,-0.94,-66.97
912,0.00,-0.80,0.00,0.008,-0.058,1.000,-3.84,-0.97,-67.09
932,0.00,-0.70,0.00,0.008,-0.058,1.000,-3.84,-0.97,-67.09
952,0.00,-0.70,0.00,0.008,-0.058,1.000,-3.84,-0.97,-67.09
972,0.00,-0.80,0.00,0.008,-0.058,1.000,-3.84,-0.97,-67.09
