Time(s),Cap_V(V),Boost_V(V),Current(mA),Power(mW),RPM,Avg_RPM
27.5,0,0.58,-0.8,-0.5,0,0
28,0,0.64,-0.8,-0.5,23,5
28.5,0,0.64,-1,-0.6,23,5
29,0,0.64,-0.9,-0.6,23,5
29.5,0,0.64,-0.7,-0.4,23,5
30,0,0.64,-0.8,-0.5,36,12
30.5,0,0.64,-0.7,-0.4,36,12
31,0,0.61,-0.8,-0.5,36,12
31.5,0,0.64,-0.6,-0.4,36,19
32,0,0.67,-0.8,-0.5,36,19
32.5,0,1.03,-0.5,-0.5,36,19
33,0,1.17,-0.8,-0.9,40,27
33.5,0,1.14,-0.9,-1,40,27
34,0,1.14,-0.8,-0.9,49,37
34.5,0,1.14,-0.9,-1,49,37
35,0,1.08,-0.4,-0.4,49,37
35.5,0,1.64,-0.9,-1.5,49,42
36,0,1.55,-0.8,-1.2,49,42
36.5,0,1.69,-1.1,-1.9,58,46
37,0,2.05,-0.8,-1.6,58,46
37.5,0,2.11,-0.9,-1.9,64,52
38,0,2.08,-0.9,-1.9,64,52
38.5,0,2.08,-0.8,-1.7,67,58
39,0,2.11,-0.7,-1.5,67,61
39.5,0,2.75,-1,-2.7,67,61
40,0,2.86,-0.6,-1.7,75,66
40.5,0,2.77,-0.9,-2.5,75,66
41,0,2.77,-0.8,-2.2,80,70
41.5,0,2.83,-1.1,-3.1,79,74
42,0,2.86,-0.7,-2,79,74
42.5,0,2.86,-0.7,-2,79,76
43,0,3.33,-0.6,-2,82,79
43.5,0,3.36,-0.6,-2,89,82
44,0,3.33,-0.8,-2.7,89,82
44.5,0,3.27,-0.7,-2.3,89,84
45,0,3.44,-0.7,-2.4,89,86
45.5,0,4.66,-0.9,-4.2,97,89
46,0,4.6,-0.8,-3.7,110,95
46.5,0,4.63,-0.7,-3.2,109,99
47,0,4.58,-0.9,-4.1,109,99
47.5,0,4.58,-0.8,-3.7,110,103
48,0,4.6,-0.9,-4.1,110,107
48.5,0,4.69,-0.7,-3.3,111,110
49,0,5.58,-0.8,-4.5,112,110
49.5,0,6.16,-0.7,-4.3,112,110
50,0,6.07,-0.7,-4.3,112,110
50.5,0,6.24,-0.6,-3.7,112,110
53,0,6.32,-1,-6.3,140,116
53.5,0,6.57,-0.9,-5.9,141,139
54,0,7.43,-0.8,-5.9,145,140
54.5,0,8.43,-0.6,-5.1,165,146
55,0,8.46,-0.8,-6.8,174,160
55.5,0,8.43,-0.7,-5.9,175,167
56,0,8.38,-0.8,-6.7,173,174
56.5,0,8.49,-0.7,-5.9,173,174
57,0,8.43,-0.7,-5.9,173,173
57.5,0,8.99,-0.7,-6.3,175,174
58,0,9.1,-0.9,-8.2,181,175
58.5,0,9.15,-0.6,-5.5,185,180
59,0,9.04,-0.9,-8.1,185,182
59.5,0,9.18,-0.8,-7.3,182,185
60,0,9.1,-0.9,-8.2,185,184
60.5,0,9.65,-0.9,-8.7,184,184
61,0,10.46,-0.8,-8.4,203,190
61.5,0,10.32,-0.7,-7.2,205,194
62,0,10.37,-0.9,-9.3,205,203
62.5,0,10.6,-0.8,-8.5,206,205
63,0,16.28,-0.8,-13,300,230
63.5,0,16.45,-1,-16.4,305,289
64,0,16.37,-0.9,-14.7,305,304
64.5,0,16.53,-1,-16.5,305,304
65,0,16.12,-1,-16.1,303,304
65.5,0,16.23,-0.9,-14.6,299,272
66,0,16.2,-1,-16.2,299,270
66.5,0,16.67,-1,-16.7,305,302
67,0,16.92,-0.7,-11.8,311,307
67.5,0,18.81,-1,-18.8,169,281
68,0,18.83,-1.1,-20.7,343,302
68.5,0,18.92,-1,-18.9,343,344
69,0,18.92,-0.8,-15.1,349,346
69.5,0,18.97,-0.7,-13.3,343,311
70,0,18.92,-1,-18.9,347,137
70.5,0,18.86,-0.9,-17,333,341
71,0,18.83,-0.8,-15.1,326,340
71.5,0,18.81,-0.8,-15,339,345
72,0,18.83,-0.7,-13.2,341,346
72.5,0,18.86,-0.6,-11.3,341,296
73,0,18.86,-0.8,-15.1,343,262
73.5,0,18.81,-0.8,-15,170,273
74,0,18.75,-0.9,-16.9,375,308
74.5,0,18.72,-0.8,-15,343,342
75,0,18.78,-0.9,-16.9,345,348
75.5,0,18.86,-0.9,-17,339,295
76,0,18.83,-0.9,-17,345,263
76.5,0,18.75,-0.8,-15,364,308
77,0,18.75,-1,-18.8,343,342
77.5,0,18.7,-0.9,-16.8,341,340
78,0,18.75,-0.9,-16.9,335,339
78.5,0,18.81,-0.8,-15,335,341
79,0,18.25,-0.9,-16.4,343,342
79.5,0,7.49,-0.9,-6.7,343,342
80,0,1.41,-0.6,-0.8,343,342
80.5,0,0.69,-0.6,-0.4,343,342
