Time (s),Angle (deg)
0.026,-45.76
0.125,-45.76
0.225,-45.89
0.325,-46.01
0.424,-46.15
0.524,-46.27
0.624,-46.27
0.723,-46.37
0.823,-46.66
0.922,-46.77
1.022,-47.3
1.122,-46.81
1.221,-37.56
1.321,-10.61
1.421,10.42
1.52,16.9
1.619,9.5
1.72,0.57
1.819,-4.52
1.918,-2.98
2.019,1.05
2.118,2.02
2.217,0.74
2.317,0.77
2.417,1.26
2.516,1.12
2.616,1.24
2.716,1.17
2.816,1.27
2.915,1.25
3.014,1.31
3.115,1.31
3.214,1.37
3.313,1.38
3.414,1.36
3.513,1.54
3.612,1.46
