Time (s),Angle (deg)
0.08,-76.75
0.181,-76.98
0.28,-77.12
0.379,-77.12
0.48,-77.24
0.579,-77.13
0.678,-76.73
0.778,-76.52
0.878,-76.31
0.977,-76.36
1.077,-76.6
1.177,-76.38
1.276,-73.57
1.376,-48.66
1.475,-8.27
1.575,26.7
1.675,37.05
1.774,23.2
1.873,0.46
1.974,-18.89
2.073,-23.83
2.172,-14.16
2.273,-2.78
2.372,0.44
2.471,-1.99
2.571,-2.18
2.671,-0.96
2.77,-1.25
2.87,-1.29
2.97,-1.03
3.069,-1.21
3.169,-0.96
3.269,-1.03
3.368,-0.89
3.468,-0.85
3.567,-0.8
3.667,-0.69
3.767,-0.7
