Timestamp_ms,Voltage_V,Current_mA,Power_mW,AccX_g,AccY_g,AccZ_g,Roll_deg,Pitch_deg,Yaw_deg
Initializing INA219 sensor...
INA219 sensor found.
Initializing HWT901B IMU...
Mounting file system...

Setup complete. Logging is active.
Commands: start, stop, dump, erase
336,0.00,-0.50,0.00,-0.045,-0.062,0.991,-3.89,2.38,14.62
355,0.00,-0.50,0.00,-0.045,-0.062,0.991,-3.89,2.38,14.62
375,0.00,-0.80,0.00,-0.045,-0.062,0.991,-3.89,2.38,14.62
395,0.00,-0.60,0.00,-0.045,-0.062,0.991,-3.89,2.38,14.62
415,0.00,-0.60,0.00,-0.045,-0.062,0.991,-3.86,2.24,14.57
435,0.00,-0.60,0.00,-0.045,-0.062,0.991,-3.86,2.24,14.57
455,0.00,-0.80,0.00,-0.045,-0.062,0.991,-3.86,2.24,14.57
475,0.00,-0.60,0.00,-0.023,-0.063,1.002,-3.86,2.24,14.57
495,0.00,-0.50,0.00,-0.023,-0.063,1.002,-3.86,2.24,14.57
515,0.00,-0.60,0.00,-0.023,-0.063,1.002,-3.82,1.93,14.48
535,0.00,-0.60,0.00,-0.023,-0.063,1.002,-3.82,1.93,14.48
555,0.00,-0.70,0.00,-0.023,-0.063,1.002,-3.82,1.93,14.48
575,0.00,-0.60,0.00,-0.025,-0.066,1.000,-3.82,1.93,14.48
595,0.00,-0.50,0.00,-0.025,-0.066,1.000,-3.82,1.93,14.48
615,0.00,-0.70,0.00,-0.025,-0.066,1.000,-3.80,2.07,14.33
635,0.00,-0.60,0.00,-0.025,-0.066,1.000,-3.80,2.07,14.33
655,0.00,-0.50,0.00,-0.025,-0.066,1.000,-3.80,2.07,14.33
675,0.00,-0.60,0.00,-0.074,-0.052,0.992,-3.80,2.07,14.33
695,0.00,-0.90,0.00,-0.074,-0.052,0.992,-3.80,2.07,14.33
715,0.00,-0.90,0.00,-0.074,-0.052,0.992,-3.77,1.78,14.35
735,0.00,-1.40,0.00,-0.074,-0.052,0.992,-3.77,1.78,14.35
755,0.00,-0.20,0.00,-0.074,-0.052,0.992,-3.77,1.78,14.35
775,0.00,-0.30,0.00,-0.095,-0.011,0.987,-3.77,1.78,14.35
795,0.00,-0.50,0.00,-0.095,-0.011,0.987,-3.77,1.78,14.35
815,0.00,-0.60,0.00,-0.095,-0.011,0.987,-3.65,-0.64,14.79
835,0.00,-0.50,0.00,-0.095,-0.011,0.987,-3.65,-0.64,14.79
855,0.00,-0.90,0.00,-0.095,-0.011,0.987,-3.65,-0.64,14.79
875,0.00,-2.40,0.00,0.047,-0.081,1.032,-3.65,-0.64,14.79
895,0.00,-0.90,0.00,0.047,-0.081,1.032,-3.65,-0.64,14.79
915,0.00,-11.60,0.00,0.047,-0.081,1.032,-3.45,-3.82,14.50
935,0.00,-10.30,0.00,0.047,-0.081,1.032,-3.45,-3.82,14.50
955,0.01,0.00,0.00,0.047,-0.081,1.032,-3.45,-3.82,14.50
975,0.01,1.80,0.00,0.196,-0.055,1.069,-3.45,-3.82,14.50
