Time (s),Angle (deg)
0.089,-78.67
0.189,-78.79
0.288,-78.85
0.388,-78.94
0.488,-78.81
0.587,-78.62
0.687,-78.6
0.787,-78.53
0.886,-78.22
0.986,-78.54
1.085,-79.27
1.185,-79.01
1.285,-76.51
1.384,-54.31
1.484,-14.65
1.584,22.2
1.683,37.11
1.782,26.96
1.883,4.98
1.982,-15.96
2.081,-23.88
2.182,-16.07
2.281,-4.07
2.38,1.26
2.481,-0.93
2.58,-1.87
2.679,-0.73
2.78,-0.11
2.879,-0.89
2.978,-0.46
3.078,-0.66
3.178,-0.46
3.277,-0.53
3.377,-0.39
3.477,-0.41
3.576,-0.35
3.676,-0.28
3.776,-0.25
3.875,-0.19
3.975,-0.13
