Time (s),Angle (deg)
0.05,30.53
0.149,34.25
0.249,34.32
0.349,34.25
0.448,34.46
0.548,34.68
0.648,34.72
0.747,34.83
0.847,34.88
0.947,34.87
1.046,34.97
1.146,35.05
1.246,35.04
1.345,32.6
1.444,18.87
1.545,0.55
1.644,-12.58
1.743,-13.1
1.844,-4.31
1.943,3.36
2.042,2.28
2.143,0.65
2.242,1.46
2.341,1.29
2.442,0.9
2.541,1.12
2.64,0.88
2.74,0.84
2.84,0.76
2.939,0.74
3.039,0.66
3.139,0.63
3.238,0.59
3.338,0.54
3.438,0.5
3.537,0.47
3.637,0.43
