Time (s),Angle (deg)
0.054,-78.84
0.154,-79.16
0.253,-79.12
0.353,-79.39
0.453,-79.74
0.552,-79.91
0.652,-80.04
0.751,-80.18
0.851,-80.26
0.951,-80.43
1.05,-80.54
1.15,-80.84
1.25,-81.51
1.349,-77.48
1.449,-49.9
1.549,-8.33
1.648,28.89
1.747,42.85
1.848,30.61
1.947,5.67
2.046,-17.93
2.147,-26.76
2.246,-18.42
2.345,-2.69
2.445,8.12
2.545,7.76
2.644,3.33
2.744,1.22
2.844,2.65
2.944,3.69
3.043,3.14
3.143,2.59
3.243,2.54
3.342,2.59
3.441,2.49
3.542,2.54
3.641,2.54
3.74,2.55
3.841,2.58
3.94,2.57
4.039,2.59
4.14,2.56
4.239,2.61
4.338,2.54
4.438,2.58
4.538,2.55
