Time (s),Angle (deg)
0.016,26.1
0.115,26.19
0.215,26.21
0.315,26.17
0.414,26.12
0.514,26.05
0.614,26.14
0.713,26.13
0.813,26.15
0.913,26.22
1.012,25.91
1.112,20.65
1.211,8.02
1.311,-4.98
1.411,-11.04
1.51,-7.48
1.61,1.22
1.71,5.81
1.809,4.04
1.909,2.14
2.009,2.36
2.108,2.98
2.208,2.74
2.308,2.77
2.407,2.65
2.506,2.65
2.607,2.57
2.706,2.55
2.805,2.49
2.906,2.43
3.005,2.32
3.104,2.29
3.205,2.35
3.304,2.27
3.403,2.26
3.504,2.24
3.603,2.21
