Time (s),Angle (deg)
0.029,-25.98
0.129,-25.92
0.228,-25.98
0.327,-26.0
0.428,-25.89
0.527,-25.89
0.626,-25.86
0.727,-25.57
0.826,-24.83
0.925,-19.84
1.025,-4.21
1.125,13.65
1.224,23.15
1.324,19.29
1.424,5.13
1.523,-10.75
1.623,-19.01
1.722,-15.05
1.822,-2.26
1.922,11.95
2.021,19.09
2.121,15.25
2.221,3.7
2.32,-8.71
2.419,-14.85
2.52,-11.15
2.619,-0.66
2.718,10.04
2.819,14.82
2.918,11.3
3.017,2.26
3.117,-6.76
3.217,-10.36
3.316,-6.59
3.416,1.38
3.516,8.92
3.615,11.57
3.715,8.16
3.814,1.44
3.914,-4.47
4.014,-6.27
4.113,-3.19
4.213,2.29
4.313,6.82
4.412,7.72
4.511,5.06
4.612,0.9
4.711,-2.22
4.81,-2.48
4.911,-0.14
5.01,2.87
5.109,4.78
5.209,4.5
5.309,2.76
5.408,1.12
5.508,0.56
5.607,1.21
5.707,2.21
5.807,2.56
5.906,2.16
6.006,1.7
6.106,1.76
6.205,2.19
6.304,2.38
6.405,2.1
6.504,1.83
6.603,1.96
6.704,2.24
6.803,2.27
