Time (s),Angle (deg)
0.075,-4.98
0.175,13.88
0.274,23.85
0.374,20.25
0.474,5.32
0.573,-11.89
0.673,-21.26
0.773,-17.35
0.872,-3.25
0.972,12.71
1.072,21.3
1.171,17.75
1.27,4.86
1.371,-9.48
1.47,-17.24
1.569,-13.88
1.67,-2.05
1.769,10.95
1.868,17.5
1.968,14.2
2.068,3.64
2.167,-7.83
2.267,-13.41
2.367,-9.92
2.466,-0.15
2.566,10.03
2.665,14.8
2.765,11.55
2.865,2.88
2.964,-5.79
3.064,-9.68
3.164,-6.55
3.263,1.12
3.362,8.6
3.463,11.45
3.562,8.24
3.661,1.63
3.762,-4.54
3.861,-6.59
3.96,-3.6
4.06,2.1
4.16,7.11
4.259,8.55
4.359,5.89
4.459,1.29
4.558,-2.44
4.658,-3.19
4.757,-0.89
4.857,2.71
4.957,5.39
5.056,5.52
5.155,3.45
5.256,0.88
5.355,-0.69
5.454,-0.37
5.555,1.21
5.654,2.76
5.753,3.33
5.853,2.76
5.953,1.82
6.052,1.31
6.152,1.51
6.252,2.02
6.351,2.14
6.451,1.83
6.55,1.63
6.65,1.8
6.75,2.02
6.849,2.01
6.949,1.81
7.049,1.71
7.148,1.83
7.247,1.98
