Time (s),Angle (deg)
0.088,-16.48
0.187,-5.66
0.286,8.66
0.387,17.64
0.486,16.35
0.585,6.4
0.685,-6.33
0.785,-14.31
0.884,-12.75
0.984,-3.26
1.084,8.15
1.183,14.91
1.283,13.17
1.382,4.81
1.482,-4.94
1.582,-10.6
1.681,-8.92
1.781,-1.36
1.881,7.24
1.98,11.79
2.079,9.76
2.18,3.19
2.279,-4.08
2.378,-7.76
2.478,-5.74
2.578,0.23
2.677,6.49
2.777,9.45
2.877,7.51
2.976,2.46
3.076,-2.49
3.175,-4.49
3.275,-2.67
3.375,1.53
3.474,5.42
3.574,6.66
3.674,4.81
3.773,1.51
3.872,-1.31
3.973,-1.95
4.072,-0.28
4.171,2.24
4.272,4.03
4.371,4.11
4.47,2.74
4.571,1.14
4.67,0.34
4.769,0.78
4.869,1.79
4.969,2.46
5.068,2.4
5.168,1.89
5.267,1.65
5.367,1.88
5.467,2.22
5.566,2.23
5.666,1.82
5.766,1.58
5.865,1.84
