Time (s),Angle (deg)
0.026,-19.07
0.126,-18.6
0.226,-7.06
0.325,8.22
0.424,18.17
0.525,17.36
0.624,7.02
0.723,-6.5
0.824,-15.25
0.923,-13.99
1.022,-4.15
1.122,7.93
1.222,15.51
1.321,14.2
1.421,5.56
1.521,-4.92
1.62,-11.22
1.72,-9.65
1.819,-1.81
1.92,7.23
2.019,12.18
2.118,10.29
2.219,3.55
2.318,-4.02
2.417,-7.92
2.516,-5.89
2.617,0.15
2.716,6.45
2.816,9.42
2.916,7.49
3.015,2.52
3.115,-2.35
3.214,-4.28
3.314,-2.43
3.414,1.58
3.513,5.24
3.613,6.39
3.713,4.61
3.812,1.58
3.911,-0.87
4.012,-1.3
4.111,0.24
4.21,2.32
4.311,3.69
4.41,3.6
4.509,2.47
4.609,1.38
4.709,1.05
4.808,1.58
4.908,2.22
5.008,2.31
5.107,1.91
5.207,1.65
5.306,1.86
5.406,2.21
5.506,2.2
5.605,1.91
5.705,1.81
5.805,1.99
5.904,2.15
6.004,2.09
6.104,1.96
6.203,1.94
