Time (s),Angle (deg)
0.031,-31.71
0.131,-31.78
0.23,-31.84
0.33,-31.93
0.43,-31.96
0.529,-31.98
0.628,-31.99
0.729,-32.03
0.828,-32.09
0.927,-32.12
1.028,-32.21
1.127,-31.35
1.226,-26.56
1.326,-9.4
1.426,13.19
1.525,27.56
1.625,25.69
1.724,9.67
1.824,-11.01
1.924,-24.88
2.023,-23.74
2.123,-9.01
2.223,10.21
2.322,22.46
2.422,21.19
2.522,8.03
2.621,-9.25
2.72,-20.48
2.821,-18.99
2.92,-6.44
3.019,9.46
3.119,19.69
3.219,18.31
3.318,7.07
3.418,-7.06
3.518,-16.12
3.617,-14.79
3.717,-4.42
3.816,8.34
3.916,16.03
4.016,14.42
4.115,5.26
4.215,-5.92
4.315,-12.46
4.414,-10.5
4.513,-1.95
4.614,7.78
4.713,13.27
4.812,11.38
4.913,3.95
5.012,-4.26
5.111,-8.6
5.211,-6.71
5.311,-0.29
5.41,6.62
5.51,9.96
5.609,7.96
5.709,2.59
5.809,-2.95
5.908,-5.39
6.008,-3.46
6.108,1.09
6.207,5.49
6.306,7.19
6.407,5.41
6.506,1.84
6.605,-1.31
6.706,-2.21
6.805,-0.64
6.904,2.08
7.004,4.2
7.104,4.41
7.203,2.93
7.303,1.13
7.403,0.13
7.502,0.47
7.602,1.54
7.701,2.32
7.801,2.33
7.901,1.8
8.0,1.47
8.1,1.69
8.2,2.08
8.299,2.08
8.398,1.77
8.499,1.66
8.598,1.85
8.697,2.04
8.797,1.95
8.897,1.79
8.996,1.8
9.096,1.94
9.196,2.0
9.295,1.87
